trial.type,trial,id,population,sex,ate,familiar.object.colour,novel.object.colour,novel.side,rewarded.side,treatment,distance.moved,mean.velocity,periphery.visits,time.in.periphery,latency.periphery,center.visits,time.in.center,latency.center,freezes,time.freezing,left.object.visits,time.with.left.object,latency.left.object,right.object.visits,time.with.right.object,latency.right.object,left.object.large.visits,time.with.left.object.large,latency.left.object.large,right.object.large.visits,time.with.right.object.large,latency.right.object.large,visits.novel.object,time.with.novel.object,latency.novel.object,visits.familiar.object,time.with.familiar.object,latency.familiar.object,time.with.rewarded.object,time.with.unrewarded.object,number.sessions.ate
baseline,3,H3,Paria,F,NA,,,L,,familiar,331.488,0.55231,9,519.187,0,8,81.198,30.1992,65,392.79,6,60.7985,235.594,2,11.1997,30.1992,18,28.3993,48.5988,4,6.99982,28.9993,6,60.7985,NA,2,11.1997,NA,,,
baseline,3,Z2,Paria,F,NA,,,L,,familiar,558.409,0.978316,20,507.587,0,20,63.3984,16.5996,91,178.796,0,0,-,10,14.1996,16.5996,1,0.79998,526.987,35,94.9976,16.1996,0,0,-,10,14.1996,16.5996,,,
baseline,3,Z1,Paria,F,NA,,,R,,novel,577.737,0.962599,11,483.788,28.3993,11,116.597,0,59,261.193,5,14.3996,26.5993,2,6.39984,293.793,15,28.9993,26.1993,5,76.5981,165.396,2,6.39984,293.793,5,14.3996,26.5993,,,
baseline,3,Z4,Paria,M,NA,,,R,,NA,701.661,1.16907,21,518.587,4.99987,21,81.798,0,85,120.397,7,8.79978,67.9983,0,0,-,18,31.5992,66.1983,11,22.3994,80.798,0,0,-,7,8.79978,67.9983,,,
baseline,3,Z3,Paria,F,NA,,,L,,novel,708.517,1.1805,16,493.388,0,11,105.197,21.9994,57,68.1983,6,40.799,64.3984,5,34.9991,100.797,12,9.59976,63.3984,13,14.5996,99.9975,6,40.799,NA,5,34.9991,NA,,,
baseline,3,J1,Paria,F,NA,,,R,,familiar,359.697,0.599311,7,574.786,0,6,25.5994,48.5988,52,414.99,3,15.3996,88.5978,2,4.59988,48.7988,9,8.59978,88.1978,5,4.59988,47.7988,2,4.59988,48.7988,3,15.3996,88.5978,,,
baseline,3,J3,Paria,F,NA,,,R,,familiar,590.592,0.984017,14,495.588,0,12,104.597,18.9995,131,133.197,4,7.39981,18.9995,1,0.999975,545.786,14,45.3989,16.7996,5,25.5994,249.594,1,0.999975,545.786,4,7.39981,18.9995,,,
baseline,3,J2,Paria,F,NA,,,R,,novel,541.173,0.901677,9,531.387,2.99992,9,68.9983,0,101,210.595,2,3.7999,275.993,5,6.59983,2.59993,12,36.7991,68.3983,15,42.7989,0,5,6.59983,2.59993,2,3.7999,275.993,,,
baseline,3,J4,Paria,M,NA,,,L,,NA,484.564,0.807357,16,410.19,0,16,190.195,64.9984,83,215.995,1,5.99985,447.189,10,147.596,64.9984,2,2.19995,446.189,35,83.5979,62.3984,1,5.99985,NA,10,147.596,NA,,,
baseline,3,X2,Paria,F,NA,,,R,,familiar,889.559,1.48214,36,453.589,0,36,146.596,24.7994,94,174.396,17,61.9984,93.7977,4,9.59976,26.3993,37,75.3981,74.9981,29,41.999,24.9994,4,9.59976,26.3993,17,61.9984,93.7977,,,
baseline,3,X4,Paria,M,NA,,,R,,NA,569.816,0.9494,20,476.188,11.9997,20,124.197,0,83,213.795,14,81.798,0,2,7.19982,368.791,34,62.5984,11.9997,10,24.5994,290.393,2,7.19982,368.791,14,81.798,0,,,
baseline,3,M2,Paria,F,NA,,,L,,novel,530.918,0.884591,19,526.787,0,18,73.5982,65.5984,108,283.793,2,3.9999,91.7977,7,11.9997,65.5984,11,40.999,89.5978,24,56.9986,63.1984,2,3.9999,NA,7,11.9997,NA,,,
baseline,3,X1,Paria,F,NA,,,L,,novel,312.661,0.520941,12,512.387,0,7,86.9978,34.1991,58,455.789,6,49.9987,33.9992,1,1.39996,68.7983,15,34.1991,32.3992,2,2.99993,66.5983,6,49.9987,NA,1,1.39996,NA,,,
baseline,3,X3,Paria,F,NA,,,R,,novel,693.76,1.15591,21,451.589,0,20,148.796,18.1995,61,178.996,11,26.9993,18.1995,4,16.9996,55.3986,26,85.7979,6.79983,12,13.5997,54.9986,4,16.9996,55.3986,11,26.9993,18.1995,,,
baseline,3,M1,Paria,F,NA,,,L,,familiar,259.788,0.432846,6,518.587,0,5,81.798,146.196,60,464.788,5,75.3981,146.196,0,0,-,12,23.7994,144.196,2,2.99992,251.794,5,75.3981,NA,0,0,-,,,
