"ate","id","object.pair","object.side","trial","distance.moved","mean.velocity","periphery.visits","time.in.periphery","latency.to.periphery","center.visits","time.in.center","latency.to.center","left.object.visits","time.with.left.object","left.object.latency","right.object.visits","time.with.right.object","right.object.latency","rewarding.object.colour","reward.object.side","time.with.trained.object","time.with.untrained.object","green.object.preference","rewarding.object.preference","prop.rewarding.object.preference","time.with.both.objects","total.time","trial.type","weight"
"yes","5b","pair-3","right",24,529.592,1.76475,15,270.064,0,14,30.2296,89.6878,4,211.807,0,2,12.8125,191.187,"blue","left",211.807,12.8125,-198.9945,198.9945,0.942959093044014,224.6195,300.2936,"refresher",0.13
"yes","6a","pair-3","left",24,249.317,0.830797,7,285.279,0,6,15.0147,29.8292,0,0,300,1,300.294,0,"green","right",300.294,0,300.294,300.294,1,300.294,300.2937,"refresher",0.15
"yes","6b","pair-3","right",24,319.623,1.06508,7,227.222,0,6,73.0715,0.600588,1,202.198,98.096,4,50.4494,6.00588,"green","left",202.198,50.4494,151.7486,151.7486,0.800316963483495,252.6474,300.2935,"refresher",0.11
"yes","7a","pair-3","left",24,426.438,1.42102,12,249.845,0,11,50.4494,115.313,4,28.8282,125.723,4,230.426,0,"blue","right",230.426,28.8282,-201.5978,201.5978,0.888803344362406,259.2542,300.2944,"refresher",0.31
"yes","7b","pair-3","right",24,218.575,0.728356,4,289.884,0,3,10.4102,6.80666,1,283.077,17.2169,0,0,300,"blue","left",283.077,0,-283.077,283.077,1,283.077,300.2942,"refresher",0.13
"yes","8a","pair-3","left",24,313.86,1.04587,9,265.66,0.200196,10,34.6339,0,1,37.4367,0,3,247.442,49.048,"green","right",247.442,37.4367,210.0053,210.0053,0.868587226774062,284.8787,300.2939,"refresher",0.17
"no","8b","pair-3","right",24,747.088,2.48951,21,133.931,17.8174,22,166.363,0,7,26.2257,1.60157,10,57.8566,111.709,"blue","left",26.2257,57.8566,31.6309,-31.6309,0.311905121529739,84.0823,300.294,"refresher",0.14
"NA","1a","pair-c","right",25,803.07,2.67606,22,161.758,3.40333,22,138.536,0,12,79.8782,26.6261,6,118.316,0,"blue","left",79.8782,118.316,38.4378,-38.4378,0.403029957486142,198.1942,300.294,"test",0.29
"NA","1b","pair-c","right",25,948.584,3.16307,23,167.764,12.8125,23,132.33,0.200196,8,136.534,10.8106,8,66.4651,0.200196,"green","left",136.534,66.4651,70.0689,70.0689,0.672584262688849,202.9991,300.094,"test",0.1
"NA","2a","pair-c","left",25,749.257,2.49674,23,169.566,0,23,130.528,1.80176,8,66.6653,51.8508,8,69.2678,0,"blue","right",69.2678,66.6653,-2.60249999999999,2.60249999999999,0.509572723641262,135.9331,300.094,"test",0.2
"NA","2b","pair-c","right",25,764.887,2.54882,21,130.528,0.600588,22,169.766,0,8,121.919,42.6417,8,58.4572,1.20118,"blue","left",121.919,58.4572,-63.4618,63.4618,0.675915115187037,180.3762,300.294,"test",0.11
